anime_id,title,type,status,episodes,duration_min,total_hours,start_date,end_date,year,decade,season,score,members_scored,rank,age_rating,main_studio,studio_group,genre_count,primary_genre,score_band,popularity_tier,is_scored
55396,On the Road,Movie,Finished Airing,1,6.0,0.1,2022-01-01,,2022,2020s,Winter,,,17731,PG-13,Unknown,Others,2,Award Winning,Not Rated,Not Rated,Not Rated
55373,Cemedine Bond to G17-gou,Movie,Finished Airing,1,2.0,0.03,1979-01-01,,1979,1970s,Winter,,,20010,G,Unknown,Others,2,Award Winning,Not Rated,Not Rated,Not Rated
55360,ABC-Mart Grand Stage CMs,CM,Finished Airing,6,1.0,0.1,2020-03-03,2024-08-08,2020,2020s,Spring,,,,G,Saigo no Shudan,Others,1,Avant Garde,Not Rated,Not Rated,Not Rated
55359,The Mourning Children: Nagiko and the Girls Wearing Tsurubami Black,Movie,Not yet aired,1,40.0,0.67,,,,,,,,,PG-13,Contrail,Others,0,Unknown,Not Rated,Not Rated,Not Rated
55353,Cemedain Bond & No. G-17 Love 5,Movie,Finished Airing,1,5.0,0.08,2017-01-01,,2017,2010s,Winter,,,20009,G,Unknown,Others,1,Comedy,Not Rated,Not Rated,Not Rated
55354,Rusty House,Special,Finished Airing,1,2.0,0.03,1982-04-23,,1982,1980s,Spring,,,14092,PG-13,Unknown,Others,1,Horror,Not Rated,Not Rated,Not Rated
54313,Moonstruck Artemis,Movie,Finished Airing,1,30.0,0.5,1981-01-01,,1981,1980s,Winter,,,18232,PG-13,Unknown,Others,2,Action,Not Rated,Not Rated,Not Rated
54230,Nippon! Nya Nya Nya! Minya de Asobu Nya: Nyanko Dai Sensou 8-shuunen CM,CM,Finished Airing,1,0.5,0.01,2020-12-26,,2020,2020s,Winter,,,,G,HOTZIPANG,Others,0,Unknown,Not Rated,Not Rated,Not Rated
55348,Hobo 15-byou Animation,Movie,Finished Airing,1,16.0,0.27,2013-08-16,,2013,2010s,Summer,,,21451,G,Unknown,Others,2,Avant Garde,Not Rated,Not Rated,Not Rated
55347,Ichijo Kujiji☆Shin Eiga,Movie,Finished Airing,1,6.0,0.1,2017-09-22,,2017,2010s,Fall,,,21680,PG-13,Unknown,Others,1,Comedy,Not Rated,Not Rated,Not Rated
55344,BT21 Universe Animation,ONA,Finished Airing,8,2.0,0.27,2019-07-31,2020-02-18,2019,2010s,Summer,,,19899,G,Unknown,Others,2,Fantasy,Not Rated,Not Rated,Not Rated
55338,Chained Trap,Music,Finished Airing,1,3.0,0.05,2023-03-01,,2023,2020s,Spring,,,,PG-13,Uguisu Kobo,Others,0,Unknown,Not Rated,Not Rated,Not Rated
