id,name,genres,type,episodes,status,aired_from,aired_to,duration_per_ep,score,scored_by,rank,rating,studios,producers,image,trailer,synopsis
39644,Setsugetsuka,,Music,1.0,Finished Airing,2018-11-21T00:00:00+00:00,,3 min,5.9,215.0,,G - All Ages,,Broccoli,https://cdn.myanimelist.net/images/anime/1001/100346l.jpg,,"A music video of the song ""Setsugetsuka"" performed by "
39653,Chokotto Anime Kemono Friends 3,"Adventure, Comedy, Fantasy",ONA,26.0,Finished Airing,2019-04-02T00:00:00+00:00,2021-09-17T00:00:00+00:00,1 min per ep,5.9,418.0,10622.0,PG-13 - Teens 13 or older,,,https://cdn.myanimelist.net/images/anime/1020/100375l.jpg,,A series of anime shorts for the Kemono Friends 3 arcade and smart
39840,Ganbare! Kakure Ase Project,Slice of Life,ONA,1.0,Finished Airing,2019-05-17T00:00:00+00:00,,2 min,5.9,458.0,10628.0,G - All Ages,G-angle,,https://cdn.myanimelist.net/images/anime/1472/101070l.jpg,,"An animated commercial for Kao Biore Sarasara Powder Sheets focuses less on a personal hygiene routine, instead opting to tug at viewers' heartstrings. The ad stars three high school friends, one a flutist named Mina and the other a burgeoning photographer named Akane. Mina finds herself getting wistful as the school year is drawing to a close but through the encouragement of her friends (and some well-timed product placement) she's reinvigorated to make the year the best "
33798,Cheer Danshi!! Recap,Sports,TV Special,1.0,Finished Airing,2016-08-09T00:00:00+00:00,,24 min,5.9,2168.0,10621.0,PG-13 - Teens 13 or older,Brain's Base,"Bandai Visual, Lantis, Nihon Ad Systems, Tokyo MX, Shueisha, Sony PCL",https://cdn.myanimelist.net/images/anime/9/81428l.jpg,,Recap of first 5 
39922,Namida no Chikara,,Music,1.0,Finished Airing,2002-02-01T00:00:00+00:00,,2 min,5.9,148.0,,G - All Ages,,NHK,https://cdn.myanimelist.net/images/anime/1792/101340l.jpg,,Music video for the song Namida no Chikara by Japanese female duo Hana*Hana that was featured on NHK's Minna no Uta program. The video wa
33669,Cure Miracle and Cure Mofurun's Magic Lesson,"Action, Fantasy, Slice of Life",Movie,1.0,Finished Airing,2016-10-29T00:00:00+00:00,,6 min,5.9,640.0,10609.0,G - All Ages,,Kinoshita Group Holdings,https://cdn.myanimelist.net/images/anime/4/80943l.jpg,,"Cure Miracle and Mofurun hold a magic lesson for the audience, where they quickly start fooling around. When playtime gets out of hand, Cure Miracle needs the help of the audience to save "
33526,Choco to Watashi,,Music,1.0,Finished Airing,2014-02-02T00:00:00+00:00,,4 min,5.9,165.0,,G - All Ages,Echoes,NHK,https://cdn.myanimelist.net/images/anime/8/80648l.jpg,,Junko Yagami's performance of Choco to Watashi for N
40124,Touken Ranbu: Hanamaru - Makuai Kaisouroku Manner Movies,Comedy,Movie,2.0,Finished Airing,2017-12-01T00:00:00+00:00,2017-12-08T00:00:00+00:00,3 min per ep,5.9,197.0,10609.0,G - All Ages,,,https://cdn.myanimelist.net/images/anime/1519/102090l.jpg,,Manner movies that aired right before the showing of Touken Ranbu: Hanamaru - Makuai Kaisouroku. The film was only shown for two weeks and each manner movie ran for a week. It shows the characters in chibi form in a theater teaching the viewers good etiquette b
33226,Kotowaza Gundam-san (ONA),Comedy,ONA,17.0,Finished Airing,2015-02-18T00:00:00+00:00,2015-04-10T00:00:00+00:00,1 min per ep,5.9,339.0,10584.0,PG-13 - Teens 13 or older,,,https://cdn.myanimelist.net/images/anime/4/79832l.jpg,,
33130,Naze Ikiru: Rennyo Shounin to Yoshizaki Enjou,,Movie,1.0,Finished Airing,2016-05-21T00:00:00+00:00,,1 hr 26 min,5.9,117.0,10595.0,PG-13 - Teens 13 or older,Studio Deen,Miracle Bus,https://cdn.myanimelist.net/images/anime/12/79603l.jpg,https://www.youtube.com/watch?v=UAJ8-dZoL1g,"Ryouken, a young man who hates temples and monks, laments his misfortunes but finds hope in his soon-to-be-born child. An unfortunate accident took everything from Ryouken. In the days of self-abandonment and suffering in darkness, Ryouken finds the teachings of the high priest Rennyo. In it, he finds answers to the question ""Why live"" as explained by the sage Shinran. As he is drawn into the teachings and no longer hesitates, Ryouken becomes Rennyo's apprentice. The number of worshippers increase, but the Honganji temple becomes a target of the other sects, forcing Ryouken and Rennyo to flee from Kyoto. In order to find a new place to teach, they arrive in Yoshizaki (now in Fukui Prefectur"
